Nom,Prix,Unité,Réduction
Café capsules Compatibles Nespresso espresso caramella intensité n° 6 CARREFOUR SELECTION,2,10 capsules,prenez en 3 = 1 économisé
Biscuits galettes au sarrasin REFLETS DE FRANCE,2,4 Sachets,le 2ème à -40%
Tablette de chocolat blanc nougatine pistaches CARREFOUR SELECTION,2,Quantité non disponible,le 2ème à -30%
Barres son avoine chocolat sans sucres ajoutés DUKAN,5,4 Barres,30% d'économies
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Chocolat noir cassis Crumble CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Gâteau fourré chocolat sans sucres ajoutés GERBLE,3,5 gâteaux,1 acheté = 10% de remise
Café dosettes Compatibles Malongo décaféiné CARREFOUR BIO,4,16 dosettes,prenez en 3 = 1 économisé
Biscuit génoise chocolat orange Sans Sucres GERBLE,2,11 génoises,1 acheté = 10% de remise
Barre repas minceur chocolat caramel GERLINEA,8,12 barres,le 2ème à -60%
Chocolat noir gingembre confit Pérou Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette De Chocolat Noir 72% Cacao Haïti Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette De Chocolat Au Lait Noix De Coco Pérou Bio ETHIQUABLE,2,100g,1 acheté = 10% de remise
Infusion relaxation Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Moelleux Pépites Chocolat Sans Sucres GERBLE,3,7 moelleux,le 2ème à -60%
Café moulu corsé CARREFOUR EXTRA,4,Le paquet de 2x250g,prenez en 3 = 1 économisé
Chocolat au lait caramel fleur de sel CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Tablette de chocolat au lait Tendre au Lait MILKA,2,2 x 100 g,prenez en 3 = payez en 2
Cake Pépites Chocolat Sans Gluten GERBLE,4,6 cakes,le 2ème à -60%
Barres Céréales Avoine Et Miel CRUNCHY NATURE VALLEY,3,420g,prenez en 3 = payez en 2
Chocolat au lait fourré au nougat Mini Nougatti COTE D'OR,3,14 mini barres,prenez en 3 = payez en 2
Tablette de chocolat Noir 78% LINDT EXCELLENCE,2,100g,le 2ème à -50%
Tablette de chocolat Orange Frappée LINDT CREATION,2,150g,le 2ème à -50%
Fruits au sirop fraîcheur des îles ST MAMET,3,Quantité non disponible,prenez en 3 = payez en 2
Tablette de chocolat Noir 85 % LINDT EXCELLENCE,1,100g,le 2ème à -50%
Chocolat noir noisettes entières COTE D'OR,4,10 carrés,prenez en 3 = payez en 2
Céréales Chocolat Sans Gluten GERBLE,4,300g,1 acheté = 25% de remise
Préparation à la myrtille s/sucres ajoutés GERBLE,2,Quantité non disponible,promo : 20%
Madeleines aux Œufs sans Gluten GERBLE,3,7 madeleines,1 acheté = 25% de remise
Biscuits amandes REFLETS DE FRANCE,3,Quantité non disponible,le 2ème à -30%
Biscuit Petit Déjeuner Céréales Chocolat Sans Gluten GERBLE,4,4 sachets de 4 biscuits,le 2ème à -60%
Biscuit amande cranberry GERBLE BIO,2,4 sachets de 3 biscuits,prenez en 3 = payez en 2
Biscuit fondant chocolat noir sans sucres ajoutés GERBLE,2,12 biscuits,le 2ème à -60%
Préparation abricot sans sucres ajoutés GERBLE,2,Quantité non disponible,promo : 20%
Céréales chocolat CARREFOUR CLASSIC',1,375g,le 2ème à -30%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Café moulu décaféiné 100% Arabica CARREFOUR EXTRA,3,250g,prenez en 3 = 1 économisé
Biscuit Crousti' Pause Noisette Cacao Sans Gluten GERBLE,3,5 sachets de 2 biscuits,1 acheté = 10% de remise
Préparation abricot sans sucres ajoutés,3,320g,1 acheté = 10% de remise
Cappuccino vanille CARREFOUR,3,144g,prenez en 3 = 1 économisé
Madeleine Citron Sans Gluten GERBLE,3,6 madeleines,le 2ème à -60%
Edulcorant Sucralose CANDEREL,4,Quantité non disponible,prenez en 3 = payez en 2
Céréales pétales chocolat CARREFOUR CLASSIC',1,375g,le 2ème à -30%
Café en grains Mexico 100% arabica Bio CARREFOUR BIO,8,Le paquet de 500g,prenez en 3 = 1 économisé
Tablette de chocolat noir 76% cacao épicé et boisé CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Chocolat noir 90% cacao CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Café soluble Espresso CARREFOUR BIO,3,Quantité non disponible,prenez en 3 = 1 économisé
Café capsules Compatibles Dolce Gusto corsé et épicé INTENSO CARREFOUR EXTRA,5,La boite de 30 capsules,prenez en 3 = 1 économisé
Chicorée nature CARREFOUR CLASSIC',1,Le pot de 100g,prenez en 3 = 1 économisé
Café capsules intenso CARREFOUR EXTRA,5,Quantité non disponible,prenez en 3 = 1 économisé
"Tablette de chocolat noir abricot, amandes & romarin CARREFOUR SELECTION",1,Quantité non disponible,le 2ème à -30%
Café dosettes Compatibles Senseo lungo CARREFOUR SENSATION,3,36 dosettes,prenez en 3 = 1 économisé
Café capsules Espresso Brazil CARREFOUR SELECTION,2,10 capsules,prenez en 3 = 1 économisé
Tablette de chocolat Noir 70 % LINDT EXCELLENCE,1,100g,le 2ème à -50%
Tablette de chocolat Lait Caramel Fleur de Sel LINDT EXCELLENCE,2,100g,le 2ème à -50%
Tablette de chocolat Lait Praliné Feuilleté LINDT CREATION,2,150g,le 2ème à -50%
Biscuit fourré cacao sans sucres GERBLE,2,12 biscuits,le 2ème à -60%
Tablette de chocolat Lait Caramel Sel LINDT CREATION,2,150g,le 2ème à -50%
Tablette de chocolat Noir Aux 3 Graines LINDT EXCELLENCE,2,100g,le 2ème à -50%
Biscuit Saveur Coco Sans Sucres GERBLE,2,3 sachets de 4 biscuits,le 2ème à -60%
Cake fourré noisette Sans Gluten GERBLE,4,6 cakes,le 2ème à -60%
Café espresso original CARREFOUR EXTRA,2,Le paquet de 25 sticks,prenez en 3 = 1 économisé
Billes de chocolat au lait KITKAT,3,250g,25% d'économies
Biscuit Orange Pépites Chocolat Sans Sucres GERBLE,2,3 sachets de 4 biscuits,le 2ème à -60%
Préparation framboise sans sucres ajoutés GERBLE,2,Quantité non disponible,promo : 20%
Tablette de chocolat Noir Délice Pistache LINDT CREATION,3,150g,le 2ème à -50%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Tablette de chocolat Noir Menthe Frappée LINDT CREATION,3,150g,le 2ème à -50%
Préparation Fraises sans sucres ajoutés,3,320g,30% d'économies
Tablette de chocolat Noir 70% Caramel Beurre Sel LINDT EXCELLENCE,2,100g,le 2ème à -50%
Biscuit petit'dej céréales miel GERBLE BIO,2,3 sachets de 3 biscuits,prenez en 3 = payez en 2
Sucre de fleur de coco bio DADDY,2,Quantité non disponible,promo : 34%
Cappuccino chocolat onctueux CARREFOUR,2,8 sticks,prenez en 3 = 1 économisé
Café moulu suave & fruité CARREFOUR SENSATION,3,Le paquet de 250g,prenez en 3 = 1 économisé
Café moulu doux CARREFOUR EXTRA,3,le paquet de 250g,prenez en 3 = 1 économisé
Biscuit cacao vanille sans sucres ajoutés GERBLE,2,4 sachets de 4 biscuits,le 2ème à -60%
Café moulu Pérou CARREFOUR SENSATION,3,250g,prenez en 3 = 1 économisé
Assortiment de biscuits 14 variétés 3 chocolats CARREFOUR,7,750g,le 2ème à -40%
Biscuits langue de chat sans sucres ajoutés KARELEA,3,Quantité non disponible,le 2ème à -68%
Boisson diététique gel boost agrumes ANDROS,1,Quantité non disponible,promo : 34%
Fruits au sirop Cocktail ST MAMET,3,Quantité non disponible,prenez en 3 = payez en 2
Café capsules Compatibles Dolce Gustogénéreux et fruité CARREFOUR EXTRA,5,Le paquet de 210 g (30x7g),prenez en 3 = 1 économisé
Amandes chocolatées CARREFOUR EXTRA,2,Quantité non disponible,"2 achetés = 4,95€"
Tartine Maïs Riz Sarrasin Sans Gluten GERBLE,3,6 sachets de 8 tartines,le 2ème à -60%
Biscuits citron sans sucres KARELEA,2,Quantité non disponible,1 acheté = 10% de remise
Tablette de chocolat Blanc Rocher Blanc LINDT CREATION,3,148g,le 2ème à -50%
Biscuit sablé Noisette Pépites Chocolat Sans Sucres GERBLE,2,3 sachets de 4 biscuits,le 2ème à -60%
Tablette de chocolat Noir Praliné Rocher LINDT CREATION,2,150g,le 2ème à -50%
Tablette de chocolat Noir Crêpe Dentelle LINDT EXCELLENCE,2,100g,le 2ème à -50%
Café moulu pur arabica Bio CARREFOUR BIO,3,200g,prenez en 3 = 1 économisé
Chocolat noir sans sucres ajoutés GERBLE,2,Quantité non disponible,le 2ème à -60%
Biscuit coco pavot GERBLE BIO,2,4 sachets de 3 biscuits,prenez en 3 = payez en 2
Biscuit petit'dej pépites chocolat GERBLE BIO,2,3 sachets de 3 biscuits,prenez en 3 = payez en 2
Biscuit épeautre caramel GERBLE BIO,2,4 sachets de 3 biscuits,prenez en 3 = payez en 2
Confiserie de Chocolat Assortiment chocolats LINDT CREATION,7,173g,le 2ème à -50%
Tablette de chocolat Lait Crème Brûlée LINDT CREATION,2,150g,le 2ème à -50%
Biscuit citron gingembre GERBLE BIO,2,4 sachets de 3 biscuits,prenez en 3 = payez en 2
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Galette riz chocolat noir sans sucres ajoutés GERBLE,2,4 sachets de 2 galettes,le 2ème à -60%
Biscuit petit'dej chocolat banane GERBLE BIO,2,3 sachets de 3 biscuits,prenez en 3 = payez en 2
Fruits au sirop pêches ST MAMET,3,Quantité non disponible,prenez en 3 = payez en 2
Biscuit Sésame Vanille Sans Sucres GERBLE,2,3 sachets de 4 biscuits,le 2ème à -60%
Gâteau Financier Amandes Sans Sucres Ajoutés GERBLE,3,7 financiers,le 2ème à -60%
Biscuits au chocolat au lait DELICHOC,3,250g,le 2ème à -60%
Céréales Snow Flakes CARREFOUR CLASSIC',2,375g,le 2ème à -30%
Tablette de chocolat noir 85% cacao CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Biscuit petit'dej fruits rouges GERBLE BIO,2,3 sachets de 3 biscuits,1 acheté = 10% de remise
Biscuits sablés Normands REFLETS DE FRANCE,1,Quantité non disponible,le 2ème à -40%
Chocolat en poudre & cacao Cankao CANDEREL,3,Quantité non disponible,prenez en 3 = payez en 2
Café soluble Gold CARREFOUR EXTRA,2,Le bocal 100g,prenez en 3 = 1 économisé
Biscuit sablé Beurre Sans Gluten GERBLE,3,4 sachets de 3 biscuits,le 2ème à -60%
Café capsules Lungo Carrefour Extra,5,Quantité non disponible,prenez en 3 = 1 économisé
Chewing-Gum Menthe Douce Sans Sucres FREEDENT WHITE,2,84g,le 2ème à -60%
Tablette De Chocolat Noir Gianduja Onctueux Nicaragua Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette de chocolat au lait aux cacahuètes et éclats croquants MILKA,3,2 x 90 g,prenez en 3 = payez en 2
Café capsule caramel compatible Nespresso STARBUCKS,4,Quantité non disponible,le 2ème à -68%
Tablette de chocolat noir fourré au nougat COTE D'OR,2,130 g,prenez en 3 = payez en 2
Tablette de chocolat Au Lait du Pays Alpin MILKA,2,270 g,prenez en 3 = payez en 2
Infusion élixir pour la gorge Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Chocolat noir mignonnettes COTE D'OR,4,24 mignonnettes,prenez en 3 = payez en 2
Tablette de chocolat au lait biscuit noisettes NESTLE LES RECETTES DE L'ATELIER,3,170g,le 2ème à -68%
Café capsules compatible Nespresso Blonde Espresso Roast Décaf Intensité 6 By Nespresso STARBUCKS,4,x10,le 2ème à -68%
Chocolat au lait noisettes entières COTE D'OR,3,10 carrés,prenez en 3 = payez en 2
Tablette de chocolat Lait Noisettes LINDT L'AUTHENTIQUE,3,100g,le 2ème à -50%
Fruits au sirop pêche ST MAMET,3,4 pots,promo : 20%
Tablette de chocolat Au Lait du Pays Alpin MILKA,2,200 g,prenez en 3 = payez en 2
Tablette de chocolat Noir 70% Orange Sanguine LINDT EXCELLENCE,2,100g,le 2ème à -50%
Tablette de chocolat Noir 85% Doux LINDT EXCELLENCE,2,100g,le 2ème à -50%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Biscuit Pépites Chocolat Sans Gluten GERBLE,3,4 sachets de 3 biscuits,le 2ème à -60%
Tablette de chocolat Lait Noisettes LINDT LES GRANDES,4,225g,1 acheté = 10% de remise
Tablette De Chocolat Au Lait Nature Pérou Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Café capsules Espresso Vanilata CARREFOUR SELECTION,2,10 capsules,prenez en 3 = 1 économisé
Café soluble décaféiné CARREFOUR,3,Le pot de 100g,prenez en 3 = 1 économisé
Thé noir chai aux épices Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Tablette de chocolat au lait et au riz croustillant MILKA,2,2 x 100 g,prenez en 3 = payez en 2
Tablette de chocolat au lait aux éclats d'Oreo MILKA,2,2 x 100 g,prenez en 3 = payez en 2
Tablette de chocolat noir amandes entières COTE D'OR,3,180 g,prenez en 3 = payez en 2
Tablette de chocolat au lait L'Original COTE D'OR,4,2 x 200 g,prenez en 3 = payez en 2
Tablette de chocolat blanc aux éclats de biscuit Oreo MILKA,2,2 x 100 g,prenez en 3 = payez en 2
Tablette de chocolat noir aux pistaches caramélisées COTE D'OR,3,180 g,prenez en 3 = payez en 2
Chocolat au lait et aux éclats de Daim Snax MILKA,2,145 g,prenez en 3 = payez en 2
Café capsules Compatibles Nespresso Breakfast Blend STARBUCKS,4,10 capsules,le 2ème à -68%
Tablette de chocolat au lait L'Original COTE D'OR,4,3 x 100 g,prenez en 3 = payez en 2
Tablette de chocolat au lait fourré praliné double noisettes COTE D'OR,3,200 g,prenez en 3 = payez en 2
Tablette de chocolat au lait aux raisins et noisettes entières COTE D'OR,2,180 g,prenez en 3 = payez en 2
Thé infusion au gingembe citron et zeste de pomme YOGI,2,x15,le 2ème à -60%
Chocolat au lait noisettes et amandes Bouchée Lait COTE D'OR,5,8 bouchées,prenez en 3 = payez en 2
Confiserie de Chocolat Caramel Pointe De Sel LINDT LINDOR,5,200g,le 2ème à -50%
Chocolat au lait Minis MILKA,3,20 mignonnettes,prenez en 3 = payez en 2
Tablette de chocolat blanc noisettes NESTLE LES RECETTES DE L'ATELIER,3,150g,le 2ème à -68%
Tablette de chocolat au lait et aux éclats de noisettes L'Original COTE D'OR,3,200 g,prenez en 3 = payez en 2
Tablette De Chocolat Noir 70% Cacao Pérou Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette de chocolat noir fourré praliné COTE D'OR,3,200 g,prenez en 3 = payez en 2
Tablette de chocolat noir biscuit caramel NESTLE LES RECETTES DE L'ATELIER,3,170g,le 2ème à -68%
Café en capsules Compatible Dolce Gusto intensité CARREFOUR EXTRA,5,30 capsules,prenez en 3 = 1 économisé
Tablette De Chocolat Au Lait 53% Cacao Guatemala Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Biscuits gaufrettes cacao noisette s/sucres ajoutés KARELEA,3,Quantité non disponible,le 2ème à -68%
Chewing-Gum Goût Fraise Sans Sucres FREEDENT WHITE,3,70g,le 2ème à -60%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Tablette De Chocolat Au Lait Riz Soufflé Pérou Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Café en capsule vanille compatible Nespresso STARBUCKS,4,Quantité non disponible,le 2ème à -68%
Assortiment de chocolats Swiss Premium LINDT,12,500g,le 2ème à -50%
Tablette De Chocolat Noir Quinoa Pérou Equateur Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Infusion nuit calme Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Tablette de chocolat noir L'Original COTE D'OR,3,3 x 100 g,prenez en 3 = payez en 2
Biscuits Palmiers Sans Sucres Ajoutés KARELEA,2,Quantité non disponible,le 2ème à -68%
Café capsules Compatible Nespresso Guatemala intensité 5 By Nespresso STARBUCKS,4,10 capsules,le 2ème à -68%
Infusion gingembre orange Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Tablette de chocolat noir 70% noisettes et amandes caramélisées COTE D'OR,1,100 g,1 acheté = 10% de remise
Tablette de chocolat noir myrtilles amandes et noisettes NESTLE LES RECETTES DE L'ATELIER,3,170g,le 2ème à -68%
Tablette de chocolat au lait cacahuètes et caramel MMMax MILKA,3,276 g,prenez en 3 = payez en 2
Tablette de chocolat au lait noisettes entières COTE D'OR,5,2 x 180 g,prenez en 3 = payez en 2
Tablette de chocolat au lait aux noisettes entières COTE D'OR,2,180 g,prenez en 3 = payez en 2
Tablette de chocolat noir 85% Bio COTE D'OR,2,100 g,prenez en 3 = payez en 2
Barres chocolatées gaufrettes au lait et aux noisettes Nussini MILKA,2,5 barres,prenez en 3 = payez en 2
Tablette De Chocolat Noir Gianduja Eclats Noisettes Nicaragua Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Céréales son d'avoine caramel sans sucres ajoutés REGIME DUKAN,5,Quantité non disponible,30% d'économies
Café capsules Compatible Nespresso Italian Style Roast intensité 11 By Nespresso STARBUCKS,4,10 capsules,le 2ème à -68%
Tablette De Chocolat Noir 75% Cacao Nicaragua Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette De Chocolat Noir 98% Cacao Equateur Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette De Chocolat Noir 70% Fleur De Sel De Noirmoutiers Bio ETHIQUABLE,2,100g,1 acheté = 15% de remise
Tablette De Chocolat Noir Caramel Sel Pérou Haïti Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette De Chocolat Noir Ecorces D'orange Pérou Haïti Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Biscuits Petit beurre s/sucres KARELEA,2,Quantité non disponible,le 2ème à -68%
Biscuits son d'avoine au chia sans sucres ajoutés DUKAN,5,Quantité non disponible,30% d'économies
Thé vert matcha énergie Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Gaufres Gaufres sans sucres KARELEA,2,Quantité non disponible,1 acheté = 10% de remise
Chewing-Gum Menthe Forte Sans Sucres FREEDENT WHITE,2,84g,le 2ème à -60%
Chewing-Gum Menthe Douce Sans Sucres FREEDENT WHITE,2,70g,le 2ème à -60%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Tablette de chocolat au lait L'Original COTE D'OR,2,200 g,prenez en 3 = payez en 2
Chewing-Gum Menthe Verte Sans Sucres FREEDENT,3,84g,le 2ème à -60%
Infusion défenses immunitaires YOGI,2,15 sachets,le 2ème à -60%
Infusion rooibos Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Barres Céréales Protéinées Caramel Salé Et Cacahuètes PROTEIN NATURE VALLEY,3,160g,prenez en 3 = payez en 2
Tablette de chocolat au lait et biscuit Lu MILKA,3,2 x 87 g,prenez en 3 = payez en 2
Café capsules Compatible Nespresso Espresso Roast Déca intensité 11 By Nespresso STARBUCKS,4,10 capsules,le 2ème à -68%
Tablette de chocolat au lait muesli amandes et caramel salé NESTLE LES RECETTES DE L'ATELIER,3,170g,le 2ème à -68%
Biscuits Chocolat au lait et M&M's Minis M&MS,2,198g,le 2ème à -60%
Tablette de chocolat noir à la pâte d'amandes COTE D'OR,2,150 g,prenez en 3 = payez en 2
Tablette de chocolat au lait noisettes et caramel MMMax MILKA,3,300 g,prenez en 3 = payez en 2
Café Capsules Compatibles Nespresso Mexico Intensité 7 CARREFOUR BIO,3,10 capsules,prenez en 3 = 1 économisé
Tablette de chocolat au lait Mini Tablettes MILKA,3,8 barres,prenez en 3 = payez en 2
Barres Céréales Protéinées Chocolat Et Cranberries PROTEIN NATURE VALLEY,3,160g,prenez en 3 = payez en 2
Café capsules Compatible Nespresso Sumatra intensité 10 By Nespresso STARBUCKS,4,10 capsules,le 2ème à -68%
Café capsules Compatible Nespresso Sunday Day Blend intensité 5 By Nespresso STARBUCKS,4,10 capsules,le 2ème à -68%
Café moulu corsé CARREFOUR BIO,3,Le paquet de 250g,prenez en 3 = 1 économisé
Cappuccino Original CARREFOUR EXTRA,2,280g,prenez en 3 = 1 économisé
Chicorée café au lait CARREFOUR CLASSIC',3,La boite de 400g,prenez en 3 = 1 économisé
Tablette de chocolat noir saveur poire CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Chocolat noir fleur de sel CARREFOUR SELECTION,1,Quantité non disponible,le 2ème à -30%
Café soluble décaféiné CARREFOUR EXTRA,2,la boite de 50g (25x29),prenez en 3 = 1 économisé
Céréales chocolat au lait & noisettes CARREFOUR SENSATION,2,500g,le 2ème à -30%
Tablette de chocolat Au Lait du Pays Alpin MILKA,5,5 x 100 g,prenez en 3 = payez en 2
Fruits au sirop ananas tranches ST MAMET,2,Quantité non disponible,prenez en 3 = payez en 2
Sablés au caramel REFLETS DE FRANCE,2,Quantité non disponible,le 2ème à -40%
Céréales boules chocolat CARREFOUR CLASSIC',1,375g,le 2ème à -30%
Café dosettes Comptibles Malongo Pérou CARREFOUR BIO,4,16 dosettes,prenez en 3 = 1 économisé
Tablette de chocolat Noir Intense 70% Cacao LINDT DESSERT,3,200g,le 2ème à -50%
Café en grains fruité et chocolaté CARREFOUR SELECTION,4,Le paquet de 200g,prenez en 3 = 1 économisé
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Tablette de chocolat Noir Sésame Grillé LINDT EXCELLENCE,1,100g,le 2ème à -50%
Biscuit chocolat lait sans sucres ajoutés GERBLE,3,12 biscuits,le 2ème à -60%
Gâteau au fromage blanc CARREFOUR CLASSIC',2,Quantité non disponible,le 2ème à -40%
Tablette de chocolat Blanc Rocher Coco LINDT CREATION,3,145g,le 2ème à -50%
Café dosettes Compatible Senseo dolce CARREFOUR SENSATION,2,36 dosettes,prenez en 3 = 1 économisé
Madeleine pépites chocolat sans gluten GERBLE,4,7 madeleines,le 2ème à -60%
Tablette de chocolat Noir Amandes Effilées LINDT EXCELLENCE,2,100g,le 2ème à -50%
Tablette de chocolat Noir Extra Fondant LINDT L'AUTHENTIQUE,3,100g,le 2ème à -50%
Tablette de chocolat Lait Citron Frappé LINDT CREATION,2,150g,le 2ème à -50%
Barre de céréales myrtille amandes GERLINEA,2,93g,1 acheté = 25% de remise
Café Capsules Compatibles Nespresso Espresso Nocciolita Intensité 7 CARREFOUR SELECTION,2,La boite de 10 capsules,prenez en 3 = 1 économisé
Biscuit génoise chocolat framboise Sans Sucres GERBLE,2,11 génoises,le 2ème à -60%
Tablette De Chocolat Au Lait 50% Cacao Madagascar Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Tablette De Chocolat Noir 88% Cacao Côte d'Ivoire Bio ETHIQUABLE,2,100g,prenez en 3 = payez en 2
Confiserie de Chocolat Noir Framboise & Cranberry LINDT SENSATION FRUIT,3,160g,1 acheté = 10% de remise
Biscuits speculoos sans sucres KARELEA,3,Quantité non disponible,le 2ème à -68%
Barres chocolatées au chocolat au lait et nougat Nougatti COTE D'OR,3,9 barres,prenez en 3 = payez en 2
Tablette de chocolat Lait Praliné Noisettes LINDT CHOCOLETTI,1,100g,le 2ème à -50%
Tablette de chocolat Noir 99% LINDT EXCELLENCE,2,50g,le 2ème à -50%
Cappuccino chocolat CARREFOUR EXTRA,2,la boite de 18 g,prenez en 3 = 1 économisé
Tablette de chocolat au lait à la pointe de sel et aux amandes caramélisées COTE D'OR,3,180 g,prenez en 3 = payez en 2
Infusion detox energie citronnelle pissenlit réglisse YOGI,2,x15,le 2ème à -60%
Infusion bonne humeur Bio YOGI,2,Quantité non disponible,le 2ème à -60%
Tablette de chocolat blanc cranberries amandes NESTLE LES RECETTES DE L'ATELIER,3,150g,le 2ème à -68%
Tablette de chocolat au lait fourré praliné et double lait COTE D'OR,3,200 g,prenez en 3 = payez en 2
Céréales muesli pépites de chocolat s/sucres ajoutés DUKAN,3,Quantité non disponible,1 acheté = 15% de remise
Biscuit Sablé Sans Gluten GERBLE,2,4 sachets de 5 biscuits,1 acheté = 15% de remise
Tablette de chocolat noir L'Original COTE D'OR,1,100 g,prenez en 3 = payez en 2
Confiserie de Chocolat Lait LINDT LINDOR,6,200g,le 2ème à -50%
Madeleines marbrées au chocolat CARREFOUR ORIGINAL,2,Quantité non disponible,le 2ème à -50%
