Nom,Prix,Unité,Réduction
Pommes de terre de consommation Vapeur CARREFOUR BIO,2,"1,5Kg",prime bio
Fruits secs amandes grillées sans résidus de pesticides TRAMIER,2,175g,1 acheté = 25% de remise
Persil plat en pot Bio CARREFOUR BIO,1,la pièce,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Jus De Pomme 100% Pur Jus Bio CARREFOUR BIO,2,90cL,prime bio
Nectarine CARREFOUR BIO,3,Quantité non disponible,prime bio
Soupe suprême d'asperge FERME D'ANCHIN,5,"98,5cL",le 2ème à -60%
Pistaches PROFRUIT,6,Quantité non disponible,1 acheté = 25% de remise
Potage Bio 5 légumes FERME D'ANCHIN,5,"98,5cL",le 2ème à -60%
Soupe Bio petit pois brocoli et courgette FERME D'ANCHIN,5,"98,5cL",le 2ème à -60%
Amandes décortiquées et grillées Bio CARREFOUR BIO,2,90g,prime bio
Soupe suprême de potiron FERME D'ANCHIN,5,"98,5cL",le 2ème à -60%
Prunes d'Ente CARREFOUR BIO,2,Quantité non disponible,prime bio
Betteraves rouges cuites Bio CARREFOUR BIO,1,500g,prime bio
Salade jeunes pousses Bio CARREFOUR BIO,1,100g,prime bio
Soupe 10 légumes du potager FERME D'ANCHIN,3,Quantité non disponible,le 2ème à -60%
Tomates rondes en grappe Bio,2,Quantité non disponible,prime bio
Asperges violette Bio CARREFOUR BIO,6,400g,prime bio
Pommes de terre Grenaille CARREFOUR BIO,3,1Kg,prime bio
Pomelo Corse CARREFOUR BIO,1,la pièce,prime bio
Graines de courge bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Cerneaux de noix en morceaux CARREFOUR BIO,4,200g,prime bio
Courge Buttercup Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Pommes bicolores CARREFOUR BIO,3,6 pièces,prime bio
Oignons rouges Bio,2,500g,prime bio
Persil frisé en pot Bio CARREFOUR BIO,1,la pièce,prime bio
Courge Shiatsu Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Tomate ronde en grappe Bio CARREFOUR BIO,3,600g,prime bio
Asperges verte Bio CARREFOUR BIO,7,400g,prime bio
Salade mâche Bio CARREFOUR BIO,2,100g,prime bio
Pêche bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Prune Reine Claude Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Clémentines bio CARREFOUR BIO,3,1Kg,prime bio
Salade panaché jeunes pousses CARREFOUR BIO,2,125g,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Tomates rondes bio CARREFOUR BIO,3,1Kg,prime bio
Clémentines à feuille Bio CARREFOUR BIO,3,750g,prime bio
Graines Bio mélange CARREFOUR BIO,4,150g,prime bio
Graines de tournesol grillées salées PROFRUIT,2,500g,1 acheté = 15% de remise
Jus Multivitaminés ANDROS,3,"1,5L",promo : 20%
Cocktail olive TROPIC APERO,3,250g,le 2ème à -68%
Olives vertes dénoyautées au piment TROPIC APERO,1,110g,le 2ème à -68%
Soupe cresson & cerfeuil FERME D'ANCHIN,4,Quantité non disponible,le 2ème à -60%
Salade laitue FLORETTE,3,320g,le 2ème à -68%
Graines de Linbrun JARDIN BIO,2,250g,1 acheté = 10% de remise
Jus de raisins pressés sans sucres ajoutés ANDROS,2,Quantité non disponible,1 acheté = 25% de remise
Mirabelle Bio CARREFOUR BIO,4,Quantité non disponible,prime bio
Pommes de terre Purée / Four / Potage CARREFOUR BIO,3,"1,5Kg",prime bio
Basilic en pot Bio CARREFOUR BIO,1,la pièce,prime bio
