nom,prix,unite,reduction
BONDUELLE Mini croustis frenchy epinard courgette chèvre,3.69,240g,-50% sur le 2ème
BONDUELLE La Poêlée du Marché,3.98,750g,-50% sur le 2ème
BONDUELLE Mini croustis mexican maïs haricot rouge cheddar,3.79,240g,-50% sur le 2ème
BONDUELLE Poêlée paysanne,4.49,750g,-50% sur le 2ème
BONDUELLE Poêlée parisienne,3.85,750g,-50% sur le 2ème
BONDUELLE Poêlée rustique,3.79,750g,-50% sur le 2ème
AUCHAN Purée cuisinée de pommes de terre,2.59,1000.0g,40 % cagnottés sur le 2ème
BONDUELLE Palets de légumes courgettes et aubergines,4.12,380g,-50% sur le 2ème
BONDUELLE Légumes et céréales cuisinés,3.96,600g,-50% sur le 2ème
AUCHAN Poêlée franc-comtoise,4.19,900g,40 % cagnottés sur le 2ème
BONDUELLE Palets de légumes petits pois et épinards,4.35,380g,-50% sur le 2ème
AUCHAN Pommes de terre rissolées rustiques,2.55,750g,40 % cagnottés sur le 2ème
AUCHAN Pommes de terre sautées,2.49,1000.0g,40 % cagnottés sur le 2ème
AUCHAN Pommes de terre rissolées dorées et croustillantes,1.19,450g,40 % cagnottés sur le 2ème
AUCHAN Croquettes de pommes de terre,2.19,750g,40 % cagnottés sur le 2ème
AUCHAN Potatoes aux épices douces,2.09,1000.0g,40 % cagnottés sur le 2ème
AUCHAN Steaks hachés pur bœuf 5% mg,6.46,400g,30 % cagnottés sur le 2ème
FINDUS Bâtonnet pané de colin d'Alaska MSC,3.90,448g,-50% sur le 2ème
SEAFOOD PREMIUM Gambas tropicales entières crues,4.60,400g,-40% sur le 2ème
TIPIAK Coquille Saint-Jacques à la Bretonne,6.99,360g,-60% sur le 2ème
TIPIAK Coquilles Saint-Jacques aux poirreaux,6.99,360g,-60% sur le 2ème
NUII Bâtonnet glacé texan pecan chocolat avec caramel,2.93,264g,Aucune réduction
MAGNUM Bâtonnet glacé limonade rose citron sorbet framboise bonbons pétillants,2.21,208g,Aucune réduction
MAGNUM Bâtonnet glacé chocolat blanc caramélisé,2.21,208g,Aucune réduction
MAGNUM Bâtonnet glacé myrtille biscuit vanille chocolat,2.21,210g,Aucune réduction
NUII Bâtonnet glacé New Zealand miel amande caramel beurre salé,3.08,272g,Aucune réduction
MAGNUM Bâtonnet glacé menthe chocolat,2.09,234g,Aucune réduction
MAGNUM Bâtonnet glacé au chocolat blanc et aux fruits rouges,2.09,196g,Aucune réduction
AUCHAN Cône glacé vanille,2.09,410g,40 % cagnottés sur le 2ème
AUCHAN Cône glacé chocolat,2.59,445g,40 % cagnottés sur le 2ème
AUCHAN Cône glacé vanille fraise,1.99,420g,40 % cagnottés sur le 2ème
AUCHAN Mini cône glacé vanille chocolat,2.99,214g,40 % cagnottés sur le 2ème
AUCHAN Cône glacé vanille chocolat,1.89,415g,40 % cagnottés sur le 2ème
AUCHAN Cône glacé vanille café,2.59,396g,40 % cagnottés sur le 2ème
AUCHAN Cône glacé rhum raisin,2.72,418g,40 % cagnottés sur le 2ème
AUCHAN Cône glacé à la noix de coco,2.69,411g,40 % cagnottés sur le 2ème
HAAGEN DAZS Pot de crème glacée vanille macadamia,4.59,400g,-60% sur le 2ème
HAAGEN DAZS Pot de crème glacée caramel beurre salé,4.59,400g,-60% sur le 2ème
HAAGEN DAZS Pot de crème glacée à la vanille,4.59,400g,-60% sur le 2ème
HAAGEN DAZS Pot de crème glacée caramel biscuit speculoos,4.59,400g,-60% sur le 2ème
MAGNUM Bonbons glacés chocolat blanc et cookies,3.64,168g,Aucune réduction
VIENNETTA Dessert glacé biscuit caramel salé,2.70,320g,Aucune réduction
VIENNETTA Dessert glacé vanille stracciatella,3.49,320g,Aucune réduction
VIENNETTA Dessert glacé au chocolat,3.45,320g,Aucune réduction
ILLY Café moulu classique 100% arabica,8.91,250g,-60% sur le 2ème
ILLY Café en grain classique 100% arabica,8.91,250g,-60% sur le 2ème
